timestamp,city,temperature,description
2025-12-10T18:19:40.670Z,London,10.4,clear sky
2025-12-10T18:19:40.672Z,London,10.4,clear sky
2025-12-10T20:14:35.889Z,London,10.01,clear sky
2025-12-10T20:14:35.891Z,London,10.01,clear sky
2025-12-10T22:13:10.679Z,London,9.58,broken clouds
2025-12-10T22:13:10.682Z,London,9.58,broken clouds
2025-12-11T00:59:57.797Z,London,9.19,scattered clouds
2025-12-11T00:59:57.799Z,London,9.19,scattered clouds
2025-12-11T03:18:02.309Z,London,8.81,few clouds
2025-12-11T03:18:02.311Z,London,8.81,few clouds
2025-12-11T04:28:32.561Z,London,8.26,few clouds
2025-12-11T04:28:32.580Z,London,8.26,few clouds
2025-12-11T06:21:05.098Z,London,8.35,scattered clouds
2025-12-11T06:21:05.101Z,London,8.35,scattered clouds
2025-12-11T08:19:03.837Z,London,8.67,broken clouds
2025-12-11T08:19:03.861Z,London,8.67,broken clouds
2025-12-11T10:14:37.061Z,London,10.4,few clouds
2025-12-11T10:14:37.064Z,London,10.4,few clouds
2025-12-11T12:26:25.284Z,London,12.02,scattered clouds
2025-12-11T12:26:25.286Z,London,12.02,scattered clouds
2025-12-11T14:16:29.854Z,London,11.87,broken clouds
2025-12-11T14:16:29.857Z,London,11.87,broken clouds
2025-12-11T16:18:39.537Z,London,10.5,broken clouds
2025-12-11T16:18:39.539Z,London,10.5,broken clouds
2025-12-11T18:17:43.732Z,London,10.39,overcast clouds
2025-12-11T18:17:43.733Z,London,10.39,overcast clouds
2025-12-11T20:15:05.755Z,London,10.44,broken clouds
2025-12-11T20:15:05.757Z,London,10.44,broken clouds
2025-12-11T22:12:22.366Z,London,10.35,broken clouds
2025-12-11T22:12:22.368Z,London,10.35,broken clouds
2025-12-12T00:59:37.707Z,London,10.48,broken clouds
2025-12-12T00:59:37.709Z,London,10.48,broken clouds
2025-12-12T03:17:10.920Z,London,10.53,overcast clouds
2025-12-12T03:17:10.932Z,London,10.53,overcast clouds
2025-12-12T04:27:34.394Z,London,10.51,overcast clouds
2025-12-12T04:27:34.395Z,London,10.51,overcast clouds
2025-12-12T06:20:14.882Z,London,10.7,broken clouds
2025-12-12T06:20:14.883Z,London,10.7,broken clouds
2025-12-12T08:18:33.538Z,London,10.96,overcast clouds
2025-12-12T08:18:33.540Z,London,10.96,overcast clouds
2025-12-12T10:13:58.597Z,London,11.72,few clouds
2025-12-12T10:13:58.599Z,London,11.72,few clouds
2025-12-12T12:24:54.646Z,London,11.82,overcast clouds
2025-12-12T12:24:54.648Z,London,11.82,overcast clouds
2025-12-12T14:12:57.305Z,London,12.05,overcast clouds
2025-12-12T14:12:57.306Z,London,12.05,overcast clouds
2025-12-12T16:14:55.045Z,London,11.45,broken clouds
2025-12-12T16:14:55.048Z,London,11.45,broken clouds
2025-12-12T18:19:10.235Z,London,9.52,overcast clouds
2025-12-12T18:19:10.237Z,London,9.52,overcast clouds
2025-12-12T20:13:48.132Z,London,8.2,overcast clouds
2025-12-12T20:13:48.134Z,London,8.2,overcast clouds
2025-12-12T22:12:17.088Z,London,7.87,overcast clouds
2025-12-12T22:12:17.090Z,London,7.87,overcast clouds
2025-12-13T00:55:51.549Z,London,7.47,overcast clouds
2025-12-13T00:55:51.551Z,London,7.47,overcast clouds
2025-12-13T03:09:29.919Z,London,6.15,broken clouds
2025-12-13T03:09:29.921Z,London,6.15,broken clouds
2025-12-13T04:18:03.155Z,London,5.19,broken clouds
2025-12-13T04:18:03.157Z,London,5.19,broken clouds
2025-12-13T06:17:53.291Z,London,4.21,scattered clouds
2025-12-13T06:17:53.293Z,London,4.21,scattered clouds
2025-12-13T08:15:06.807Z,London,3.67,clear sky
2025-12-13T08:15:06.809Z,London,3.67,clear sky
2025-12-13T10:11:43.940Z,London,5.47,clear sky
2025-12-13T10:11:43.942Z,London,5.47,clear sky
2025-12-13T12:21:58.497Z,London,9.82,clear sky
2025-12-13T12:21:58.499Z,London,9.82,clear sky
2025-12-13T14:11:09.012Z,London,10.39,broken clouds
2025-12-13T14:11:09.017Z,London,10.39,broken clouds
2025-12-13T16:13:44.590Z,London,8.78,scattered clouds
2025-12-13T16:13:44.592Z,London,8.78,scattered clouds
2025-12-13T18:15:44.804Z,London,7.55,broken clouds
2025-12-13T18:15:44.806Z,London,7.55,broken clouds
2025-12-13T20:12:44.437Z,London,7.37,overcast clouds
2025-12-13T20:12:44.439Z,London,7.37,overcast clouds
2025-12-13T22:11:17.996Z,London,6.69,overcast clouds
2025-12-13T22:11:18.014Z,London,6.69,overcast clouds
2025-12-14T01:03:48.795Z,London,7.12,few clouds
2025-12-14T01:03:48.797Z,London,7.12,few clouds
2025-12-14T03:22:00.828Z,London,6.81,scattered clouds
2025-12-14T03:22:00.830Z,London,6.81,scattered clouds
2025-12-14T04:29:32.779Z,London,6.84,scattered clouds
2025-12-14T04:29:32.781Z,London,6.84,scattered clouds
2025-12-14T06:17:42.453Z,London,6.8,scattered clouds
2025-12-14T06:17:42.455Z,London,6.8,scattered clouds
2025-12-14T08:15:48.618Z,London,6.99,overcast clouds
2025-12-14T08:15:48.620Z,London,6.99,overcast clouds
2025-12-14T10:12:29.936Z,London,9.08,scattered clouds
2025-12-14T10:12:29.939Z,London,9.08,scattered clouds
2025-12-14T12:21:59.899Z,London,10.48,broken clouds
2025-12-14T12:21:59.901Z,London,10.61,broken clouds
2025-12-14T14:10:57.349Z,London,10.83,few clouds
2025-12-14T14:10:57.351Z,London,10.83,few clouds
2025-12-14T16:13:25.993Z,London,9.65,scattered clouds
2025-12-14T16:13:25.994Z,London,9.75,scattered clouds
2025-12-14T18:16:52.598Z,London,9.82,scattered clouds
2025-12-14T18:16:52.600Z,London,9.82,scattered clouds
2025-12-14T20:13:03.660Z,London,10.38,scattered clouds
2025-12-14T20:13:03.662Z,London,10.38,scattered clouds
2025-12-14T22:11:24.468Z,London,10.82,broken clouds
2025-12-14T22:11:24.594Z,London,10.82,broken clouds
2025-12-15T01:01:24.196Z,London,11.03,overcast clouds
2025-12-15T01:01:24.199Z,London,11.03,overcast clouds
2025-12-15T03:23:00.265Z,London,10.75,overcast clouds
2025-12-15T03:23:00.267Z,London,10.75,overcast clouds
2025-12-15T04:32:36.749Z,London,10.53,overcast clouds
2025-12-15T04:32:36.751Z,London,10.53,overcast clouds
2025-12-15T06:22:11.160Z,London,10.43,overcast clouds
2025-12-15T06:22:11.161Z,London,10.43,overcast clouds
2025-12-15T08:20:07.351Z,London,10.3,overcast clouds
2025-12-15T08:20:07.353Z,London,10.3,overcast clouds
2025-12-15T10:16:43.445Z,London,10.9,overcast clouds
2025-12-15T10:16:43.448Z,London,10.9,overcast clouds
2025-12-15T12:27:28.491Z,London,11.34,overcast clouds
2025-12-15T12:27:28.493Z,London,11.34,overcast clouds
2025-12-15T14:16:51.114Z,London,11.06,overcast clouds
2025-12-15T14:16:51.116Z,London,11.06,overcast clouds
2025-12-15T16:18:23.914Z,London,10.96,light rain
2025-12-15T16:18:23.916Z,London,10.96,light rain
2025-12-15T18:19:28.407Z,London,10.96,broken clouds
2025-12-15T18:19:28.409Z,London,10.96,broken clouds
2025-12-15T20:14:32.247Z,London,11.04,overcast clouds
2025-12-15T20:14:32.249Z,London,11.04,overcast clouds
2025-12-15T22:12:35.077Z,London,10.91,overcast clouds
2025-12-15T22:12:35.079Z,London,10.91,overcast clouds
2025-12-16T00:59:54.644Z,London,10.85,few clouds
2025-12-16T00:59:54.646Z,London,10.85,few clouds
2025-12-16T03:17:37.677Z,London,11.48,broken clouds
2025-12-16T03:17:37.679Z,London,11.48,broken clouds
2025-12-16T04:28:41.849Z,London,11.2,broken clouds
2025-12-16T04:28:41.871Z,London,11.2,broken clouds
2025-12-16T06:20:40.115Z,London,10.98,overcast clouds
2025-12-16T06:20:40.116Z,London,10.98,overcast clouds
2025-12-16T08:18:54.736Z,London,10.94,overcast clouds
2025-12-16T08:18:54.738Z,London,10.94,overcast clouds
2025-12-16T10:15:06.385Z,London,11.62,overcast clouds
2025-12-16T10:15:06.387Z,London,11.62,overcast clouds
2025-12-16T12:26:05.254Z,London,12.27,light rain
2025-12-16T12:26:05.256Z,London,12.27,light rain
2025-12-16T14:15:57.542Z,London,10.01,overcast clouds
2025-12-16T14:15:57.544Z,London,10.01,overcast clouds
2025-12-16T16:17:11.188Z,London,8.87,overcast clouds
2025-12-16T16:17:11.206Z,London,8.87,overcast clouds
2025-12-16T18:19:41.732Z,London,7.97,overcast clouds
2025-12-16T18:19:41.744Z,London,7.97,overcast clouds
2025-12-16T20:14:54.182Z,London,7.49,overcast clouds
2025-12-16T20:14:54.184Z,London,7.49,overcast clouds
2025-12-16T22:12:34.699Z,London,6.51,broken clouds
2025-12-16T22:12:34.701Z,London,6.51,broken clouds
2025-12-17T00:55:41.133Z,London,4.77,clear sky
2025-12-17T00:55:41.135Z,London,4.77,clear sky
2025-12-17T03:14:05.857Z,London,4.28,scattered clouds
2025-12-17T03:14:05.859Z,London,4.28,scattered clouds
2025-12-17T04:25:43.662Z,London,3.51,few clouds
2025-12-17T04:25:43.664Z,London,3.51,few clouds
2025-12-17T06:20:13.062Z,London,2.76,fog
2025-12-17T06:20:13.064Z,London,2.76,fog
2025-12-17T08:18:45.293Z,London,3.07,mist
2025-12-17T08:18:45.295Z,London,3.07,mist
2025-12-17T10:14:44.780Z,London,4.94,broken clouds
2025-12-17T10:14:44.782Z,London,4.94,broken clouds
2025-12-17T12:25:46.668Z,London,7.75,broken clouds
2025-12-17T12:25:46.670Z,London,7.75,broken clouds
2025-12-17T14:14:21.224Z,London,9.33,few clouds
2025-12-17T14:14:21.229Z,London,9.33,few clouds
2025-12-17T16:16:58.771Z,London,9.8,scattered clouds
2025-12-17T16:16:58.774Z,London,9.8,scattered clouds
2025-12-17T18:19:36.957Z,London,9.93,overcast clouds
2025-12-17T18:19:36.959Z,London,9.93,overcast clouds
2025-12-17T20:14:25.783Z,London,9.81,scattered clouds
2025-12-17T20:14:25.787Z,London,9.81,scattered clouds
2025-12-17T22:12:26.431Z,London,10.52,broken clouds
2025-12-17T22:12:26.433Z,London,10.52,broken clouds
2025-12-18T00:56:22.897Z,London,10.28,light rain
2025-12-18T00:56:22.900Z,London,10.28,light rain
2025-12-18T03:14:32.735Z,London,10.56,light rain
2025-12-18T03:14:32.743Z,London,10.56,light rain
2025-12-18T04:26:44.482Z,London,10.64,moderate rain
2025-12-18T04:26:44.533Z,London,10.64,moderate rain
2025-12-18T06:20:16.291Z,London,11.03,broken clouds
2025-12-18T06:20:16.293Z,London,11.03,broken clouds
2025-12-18T08:20:44.652Z,London,11.03,broken clouds
2025-12-18T08:20:44.654Z,London,11.03,broken clouds
2025-12-18T10:14:00.671Z,London,11.09,overcast clouds
2025-12-18T10:14:00.673Z,London,11.09,overcast clouds
2025-12-18T12:24:58.754Z,London,11.03,heavy intensity rain
2025-12-18T12:24:58.758Z,London,11.03,heavy intensity rain
2025-12-18T14:14:53.051Z,London,11.27,moderate rain
2025-12-18T14:14:53.052Z,London,11.27,moderate rain
2025-12-18T16:17:43.496Z,London,11.39,moderate rain
2025-12-18T16:17:43.519Z,London,11.39,moderate rain
2025-12-18T18:19:10.962Z,London,11.86,overcast clouds
2025-12-18T18:19:10.964Z,London,11.76,overcast clouds
2025-12-18T20:13:25.032Z,London,11.86,broken clouds
2025-12-18T20:13:25.034Z,London,11.86,broken clouds
2025-12-18T22:12:11.353Z,London,11.24,few clouds
2025-12-18T22:12:11.355Z,London,11.24,few clouds
2025-12-19T00:59:20.085Z,London,10.63,few clouds
2025-12-19T00:59:20.091Z,London,10.63,few clouds
2025-12-19T03:17:07.913Z,London,8.93,overcast clouds
2025-12-19T03:17:07.915Z,London,8.93,overcast clouds
2025-12-19T04:27:19.896Z,London,8.19,overcast clouds
2025-12-19T04:27:19.898Z,London,8.19,overcast clouds
2025-12-19T06:19:54.381Z,London,7.85,overcast clouds
2025-12-19T06:19:54.383Z,London,7.85,overcast clouds
2025-12-19T08:18:06.560Z,London,7.61,overcast clouds
2025-12-19T08:18:06.562Z,London,7.61,overcast clouds
2025-12-19T10:13:34.336Z,London,8.48,broken clouds
2025-12-19T10:13:34.338Z,London,8.48,broken clouds
2025-12-19T12:23:50.072Z,London,10.57,scattered clouds
2025-12-19T12:23:50.092Z,London,10.57,scattered clouds
2025-12-19T14:13:34.045Z,London,11.28,clear sky
2025-12-19T14:13:34.047Z,London,11.28,clear sky
2025-12-19T16:15:12.527Z,London,9.64,clear sky
2025-12-19T16:15:12.529Z,London,9.64,clear sky
2025-12-19T18:18:03.325Z,London,8.57,clear sky
2025-12-19T18:18:03.327Z,London,8.57,clear sky
2025-12-19T20:13:45.929Z,London,7.56,few clouds
2025-12-19T20:13:45.930Z,London,7.56,few clouds
2025-12-19T22:12:35.166Z,London,6.37,clear sky
2025-12-19T22:12:35.168Z,London,6.37,clear sky
2025-12-20T00:55:56.415Z,London,5.07,clear sky
2025-12-20T00:55:56.417Z,London,5.07,clear sky
2025-12-20T03:09:13.148Z,London,5.16,clear sky
2025-12-20T03:09:13.150Z,London,5.16,clear sky
2025-12-20T04:18:04.923Z,London,5.31,clear sky
2025-12-20T04:18:04.926Z,London,5.31,clear sky
2025-12-20T06:19:19.659Z,London,4.49,clear sky
2025-12-20T06:19:19.661Z,London,4.44,clear sky
2025-12-20T08:15:46.285Z,London,4.4,few clouds
2025-12-20T08:15:46.287Z,London,4.4,few clouds
2025-12-20T10:12:10.079Z,London,6.15,clear sky
2025-12-20T10:12:10.081Z,London,6.15,clear sky
2025-12-20T12:21:35.462Z,London,9.52,clear sky
2025-12-20T12:21:35.465Z,London,9.52,clear sky
2025-12-20T14:11:11.025Z,London,9.79,scattered clouds
2025-12-20T14:11:11.027Z,London,9.79,scattered clouds
2025-12-20T16:13:52.578Z,London,8.13,clear sky
2025-12-20T16:13:52.580Z,London,8.13,clear sky
2025-12-20T18:15:38.318Z,London,7.84,broken clouds
2025-12-20T18:15:38.327Z,London,7.84,broken clouds
2025-12-20T20:12:33.593Z,London,7.66,overcast clouds
2025-12-20T20:12:33.595Z,London,7.67,overcast clouds
2025-12-20T22:11:34.541Z,London,8.01,overcast clouds
2025-12-20T22:11:34.543Z,London,8.01,overcast clouds
2025-12-21T01:03:33.888Z,London,8.32,overcast clouds
2025-12-21T01:03:33.890Z,London,8.32,overcast clouds
2025-12-21T03:22:14.971Z,London,8.46,broken clouds
2025-12-21T03:22:14.980Z,London,8.46,broken clouds
2025-12-21T04:30:12.791Z,London,8.4,overcast clouds
2025-12-21T04:30:12.793Z,London,8.4,overcast clouds
2025-12-21T06:18:39.696Z,London,8.62,broken clouds
2025-12-21T06:18:39.698Z,London,8.62,broken clouds
2025-12-21T08:16:01.958Z,London,9.09,overcast clouds
2025-12-21T08:16:01.961Z,London,9.09,overcast clouds
2025-12-21T10:12:04.808Z,London,9.68,broken clouds
2025-12-21T10:12:04.810Z,London,9.68,broken clouds
2025-12-21T12:21:48.582Z,London,10.07,overcast clouds
2025-12-21T12:21:48.598Z,London,10.07,overcast clouds
2025-12-21T14:11:08.013Z,London,10.1,few clouds
2025-12-21T14:11:08.032Z,London,10.1,few clouds
2025-12-21T16:13:36.783Z,London,9.53,moderate rain
2025-12-21T16:13:36.785Z,London,9.74,moderate rain
2025-12-21T18:17:05.104Z,London,10.01,moderate rain
2025-12-21T18:17:05.107Z,London,10.01,moderate rain
2025-12-21T20:13:01.360Z,London,10.79,light rain
2025-12-21T20:13:01.361Z,London,10.79,light rain
2025-12-21T22:11:50.602Z,London,10.59,light rain
2025-12-21T22:11:50.604Z,London,10.59,light rain
2025-12-22T01:02:21.124Z,London,10.43,scattered clouds
2025-12-22T01:02:21.126Z,London,10.43,scattered clouds
2025-12-22T03:25:09.274Z,London,9.23,overcast clouds
2025-12-22T03:25:09.276Z,London,9.23,overcast clouds
2025-12-22T04:32:53.638Z,London,9.01,scattered clouds
2025-12-22T04:32:53.640Z,London,9.01,scattered clouds
2025-12-22T06:21:32.912Z,London,9.12,broken clouds
2025-12-22T06:21:32.914Z,London,9.12,broken clouds
2025-12-22T08:19:12.400Z,London,8.84,broken clouds
2025-12-22T08:19:12.402Z,London,8.84,broken clouds
2025-12-22T10:14:21.684Z,London,9.27,broken clouds
2025-12-22T10:14:21.685Z,London,9.27,broken clouds
2025-12-22T12:25:41.962Z,London,10.25,overcast clouds
2025-12-22T12:25:41.964Z,London,10.25,overcast clouds
2025-12-22T14:13:26.974Z,London,10.48,overcast clouds
2025-12-22T14:13:26.976Z,London,10.48,overcast clouds
2025-12-22T16:15:27.346Z,London,9.53,few clouds
2025-12-22T16:15:27.348Z,London,9.53,few clouds
2025-12-22T18:18:45.752Z,London,9.49,overcast clouds
2025-12-22T18:18:45.754Z,London,9.49,overcast clouds
2025-12-22T20:13:42.018Z,London,8.55,overcast clouds
2025-12-22T20:13:42.020Z,London,8.55,overcast clouds
2025-12-22T22:12:32.825Z,London,8.14,few clouds
2025-12-22T22:12:32.827Z,London,8.14,few clouds
2025-12-23T00:59:06.491Z,London,8.35,overcast clouds
2025-12-23T00:59:06.493Z,London,8.35,overcast clouds
2025-12-23T03:19:58.883Z,London,8.01,overcast clouds
2025-12-23T03:19:58.901Z,London,8.01,overcast clouds
2025-12-23T04:30:37.976Z,London,7.83,overcast clouds
2025-12-23T04:30:37.978Z,London,7.83,overcast clouds
2025-12-23T06:20:43.884Z,London,7.43,overcast clouds
2025-12-23T06:20:43.886Z,London,7.43,overcast clouds
2025-12-23T08:18:38.864Z,London,7.22,overcast clouds
2025-12-23T08:18:38.866Z,London,7.22,overcast clouds
2025-12-23T10:14:16.824Z,London,7.05,overcast clouds
2025-12-23T10:14:16.826Z,London,7.05,overcast clouds
2025-12-23T12:25:09.653Z,London,7.4,overcast clouds
2025-12-23T12:25:09.655Z,London,7.4,overcast clouds
2025-12-23T14:13:02.196Z,London,7.46,overcast clouds
2025-12-23T14:13:02.204Z,London,7.47,overcast clouds
2025-12-23T16:15:52.117Z,London,6.87,overcast clouds
2025-12-23T16:15:52.119Z,London,6.87,overcast clouds
2025-12-23T18:18:55.689Z,London,6.57,overcast clouds
2025-12-23T18:18:55.691Z,London,6.57,overcast clouds
2025-12-23T20:13:27.907Z,London,6.57,overcast clouds
2025-12-23T20:13:27.909Z,London,6.57,overcast clouds
2025-12-23T22:12:23.736Z,London,6.39,overcast clouds
2025-12-23T22:12:23.738Z,London,6.39,overcast clouds
2025-12-24T00:59:05.335Z,London,5.96,overcast clouds
2025-12-24T00:59:05.337Z,London,5.96,overcast clouds
2025-12-24T03:17:18.456Z,London,6.25,overcast clouds
2025-12-24T03:17:18.458Z,London,6.25,overcast clouds
2025-12-24T04:28:59.575Z,London,6.53,overcast clouds
2025-12-24T04:28:59.577Z,London,6.53,overcast clouds
2025-12-24T06:20:32.961Z,London,5.78,overcast clouds
2025-12-24T06:20:32.963Z,London,5.84,overcast clouds
2025-12-24T08:18:09.823Z,London,4.8,overcast clouds
2025-12-24T08:18:09.825Z,London,4.8,overcast clouds
2025-12-24T10:13:53.519Z,London,4.9,broken clouds
2025-12-24T10:13:53.521Z,London,4.9,broken clouds
2025-12-24T12:24:16.672Z,London,5.95,broken clouds
2025-12-24T12:24:16.674Z,London,5.95,broken clouds
2025-12-24T14:12:01.295Z,London,5.92,broken clouds
2025-12-24T14:12:01.297Z,London,5.92,broken clouds
2025-12-24T16:15:19.622Z,London,4.72,broken clouds
2025-12-24T16:15:19.624Z,London,4.72,broken clouds
2025-12-24T18:18:19.167Z,London,4.17,scattered clouds
2025-12-24T18:18:19.169Z,London,4.17,scattered clouds
2025-12-24T20:13:21.225Z,London,3.85,clear sky
2025-12-24T20:13:21.227Z,London,3.85,clear sky
2025-12-24T22:12:18.895Z,London,3.84,few clouds
2025-12-24T22:12:18.897Z,London,3.84,few clouds
2025-12-25T00:59:06.969Z,London,3.5,clear sky
2025-12-25T00:59:06.971Z,London,3.5,clear sky
2025-12-25T03:20:12.790Z,London,3.21,clear sky
2025-12-25T03:20:12.792Z,London,3.21,clear sky
2025-12-25T04:30:36.011Z,London,3.24,clear sky
2025-12-25T04:30:36.013Z,London,3.24,clear sky
2025-12-25T06:20:15.822Z,London,3.26,clear sky
2025-12-25T06:20:15.825Z,London,3.26,clear sky
2025-12-25T08:17:48.765Z,London,2.98,clear sky
2025-12-25T08:17:48.767Z,London,2.98,clear sky
2025-12-25T10:13:57.550Z,London,3.81,clear sky
2025-12-25T10:13:57.553Z,London,3.81,clear sky
2025-12-25T12:24:09.126Z,London,5.74,clear sky
2025-12-25T12:24:09.128Z,London,5.74,clear sky
2025-12-25T14:12:12.386Z,London,5.77,clear sky
2025-12-25T14:12:12.388Z,London,5.77,clear sky
2025-12-25T16:15:09.269Z,London,4.32,broken clouds
2025-12-25T16:15:09.271Z,London,4.32,broken clouds
2025-12-25T18:18:05.836Z,London,4.31,overcast clouds
2025-12-25T18:18:05.838Z,London,4.31,overcast clouds
2025-12-25T20:13:53.048Z,London,4.13,overcast clouds
2025-12-25T20:13:53.050Z,London,4.13,overcast clouds
2025-12-25T22:11:59.629Z,London,3.86,overcast clouds
2025-12-25T22:11:59.631Z,London,3.86,overcast clouds
2025-12-26T00:59:32.013Z,London,3.69,overcast clouds
2025-12-26T00:59:32.016Z,London,3.69,overcast clouds
2025-12-26T03:18:00.060Z,London,3.75,broken clouds
2025-12-26T03:18:00.062Z,London,3.75,broken clouds
2025-12-26T04:28:11.596Z,London,3.85,overcast clouds
2025-12-26T04:28:11.598Z,London,3.85,overcast clouds
2025-12-26T06:19:59.640Z,London,4.16,overcast clouds
2025-12-26T06:19:59.641Z,London,4.16,overcast clouds
2025-12-26T08:17:48.196Z,London,4.42,overcast clouds
2025-12-26T08:17:48.198Z,London,4.42,overcast clouds
2025-12-26T10:13:38.017Z,London,4.88,overcast clouds
2025-12-26T10:13:38.019Z,London,4.88,overcast clouds
2025-12-26T12:24:04.978Z,London,5.66,broken clouds
2025-12-26T12:24:04.985Z,London,5.66,broken clouds
2025-12-26T14:12:28.556Z,London,6.51,broken clouds
2025-12-26T14:12:28.557Z,London,6.51,broken clouds
2025-12-26T16:14:24.654Z,London,5.48,overcast clouds
2025-12-26T16:14:24.655Z,London,5.48,overcast clouds
2025-12-26T18:17:58.843Z,London,5.16,overcast clouds
2025-12-26T18:17:58.845Z,London,5.16,overcast clouds
2025-12-26T20:13:00.410Z,London,5.01,overcast clouds
2025-12-26T20:13:00.418Z,London,5.01,overcast clouds
2025-12-26T22:11:59.368Z,London,4.4,overcast clouds
2025-12-26T22:11:59.370Z,London,4.4,overcast clouds
2025-12-27T00:57:52.422Z,London,2.95,few clouds
2025-12-27T00:57:52.424Z,London,2.95,few clouds
2025-12-27T03:16:46.259Z,London,2.82,clear sky
2025-12-27T03:16:46.260Z,London,2.82,clear sky
2025-12-27T04:25:05.695Z,London,2.59,clear sky
2025-12-27T04:25:05.697Z,London,2.59,clear sky
2025-12-27T06:18:59.617Z,London,2.5,clear sky
2025-12-27T06:18:59.687Z,London,2.5,clear sky
2025-12-27T08:16:24.333Z,London,2.77,clear sky
2025-12-27T08:16:24.335Z,London,2.77,clear sky
2025-12-27T10:12:11.051Z,London,5.08,clear sky
2025-12-27T10:12:11.053Z,London,5.08,clear sky
2025-12-27T12:22:34.462Z,London,7.03,broken clouds
2025-12-27T12:22:34.464Z,London,7.03,broken clouds
2025-12-27T14:11:24.277Z,London,7.53,overcast clouds
2025-12-27T14:11:24.279Z,London,7.53,overcast clouds
2025-12-27T16:13:46.958Z,London,7.48,overcast clouds
2025-12-27T16:13:46.961Z,London,7.48,overcast clouds
2025-12-27T18:17:05.174Z,London,7.59,overcast clouds
2025-12-27T18:17:05.176Z,London,7.59,overcast clouds
2025-12-27T20:13:38.878Z,London,6.9,overcast clouds
2025-12-27T20:13:38.880Z,London,6.9,overcast clouds
2025-12-27T22:11:34.696Z,London,6.94,overcast clouds
2025-12-27T22:11:34.698Z,London,6.94,overcast clouds
2025-12-28T01:06:18.495Z,London,6.69,overcast clouds
2025-12-28T01:06:18.497Z,London,6.69,overcast clouds
2025-12-28T03:30:30.516Z,London,6.83,overcast clouds
2025-12-28T03:30:30.518Z,London,6.83,overcast clouds
2025-12-28T04:37:39.369Z,London,6.82,overcast clouds
2025-12-28T04:37:39.371Z,London,6.82,overcast clouds
2025-12-28T06:19:10.982Z,London,6.59,overcast clouds
2025-12-28T06:19:10.984Z,London,6.59,overcast clouds
2025-12-28T08:16:27.461Z,London,6.72,overcast clouds
2025-12-28T08:16:27.462Z,London,6.72,overcast clouds
2025-12-28T10:12:10.599Z,London,7.11,overcast clouds
2025-12-28T10:12:10.601Z,London,7.11,overcast clouds
2025-12-28T12:22:37.685Z,London,7.24,overcast clouds
2025-12-28T12:22:37.687Z,London,7.24,overcast clouds
2025-12-28T14:11:45.227Z,London,7.16,overcast clouds
2025-12-28T14:11:45.229Z,London,7.16,overcast clouds
2025-12-28T16:14:17.570Z,London,7.03,overcast clouds
2025-12-28T16:14:17.572Z,London,7.03,overcast clouds
2025-12-28T18:17:34.111Z,London,6.94,overcast clouds
2025-12-28T18:17:34.114Z,London,6.94,overcast clouds
2025-12-28T20:13:47.702Z,London,6.47,overcast clouds
2025-12-28T20:13:47.704Z,London,6.47,overcast clouds
2025-12-28T22:12:04.291Z,London,5.98,overcast clouds
